#IDCaso,indJogadorMao,cartaRobo1,cartaRobo2,cartaRobo3,cartaRodada1Robo,CartaRodada1Humano,ganhadorRodada1,cartaRodada2Robo,cartaRodada2Humano,ganhadorRodada2,cartaRodada3Robo,cartaRodada3Humano,ganhadorRodada3,cartaHumano1,cartaHumano2,cartaHumano3,quemVenceuMao
2,20,52,62,60,53,10,20,63,91,10,62,30,20,10,91,30,20
3,20,52,62,60,62,10,20,52,91,10,62,30,20,10,91,30,20
5,20,11,0,40,42,70,10,11,2,20,0,80,10,70,2,80,10
6,10,53,62,100,53,52,20,100,null,20,null,null,null,52,null,null,20
7,20,61,10,50,50,11,20,10,40,10,null,null,null,11,40,null,10
8,10,11,21,10,11,80,10,21,1,10,null,null,null,80,1,null,10
9,20,12,91,100,13,31,10,91,3,20,100,null,20,31,3,null,20
11,10,100,41,80,82,51,20,null,92,10,100,120,10,51,92,120,10
12,20,120,92,51,51,80,10,92,null,20,120,100,20,80,null,100,20
13,10,83,53,82,53,120,10,83,null,20,null,null,null,120,null,null,20
14,20,2,0,20,2,53,10,null,83,10,null,null,null,53,83,null,10
15,20,42,61,30,42,63,10,30,null,20,61,71,10,63,null,71,10
16,10,63,31,71,63,42,20,null,30,10,71,61,20,42,30,61,20
17,20,53,52,0,42,80,10,52,2,20,0,23,10,80,2,23,10
18,20,23,2,80,80,53,20,120,52,20,23,0,20,53,52,0,20
19,10,63,42,21,21,23,10,null,null,null,null,null,null,23,null,null,10
20,20,23,22,100,23,21,20,null,null,null,null,null,null,21,null,null,20
21,10,22,41,90,22,53,10,41,null,20,90,93,10,53,null,93,10
22,20,93,53,2,53,22,20,null,41,10,93,90,20,22,41,90,20
23,10,63,62,21,62,2,20,63,null,null,null,null,null,2,null,null,null
24,20,43,2,42,2,62,10,null,63,10,null,null,null,62,63,null,10
25,20,110,12,40,110,1,20,null,51,10,40,90,10,1,51,90,10
26,10,1,51,90,1,110,10,51,null,20,90,40,20,110,null,40,20
27,20,43,52,70,43,92,10,52,null,20,70,null,20,92,null,null,20
28,20,120,92,11,92,43,20,null,52,10,null,70,10,43,52,70,10
29,10,71,91,60,71,42,20,60,100,10,91,21,20,42,100,21,20
30,20,42,21,100,42,71,10,100,70,20,21,91,10,71,70,91,10
31,10,3,53,50,50,12,20,53,81,10,null,31,10,12,81,31,10
32,20,93,100,20,92,41,20,20,50,10,100,110,10,41,50,110,10
33,10,92,0,60,60,20,20,0,23,10,null,null,null,20,23,null,10
34,20,31,62,70,31,2,20,62,90,10,null,12,10,2,90,12,10
35,10,23,91,1,91,81,20,1,63,10,23,70,10,81,63,70,10
36,10,3,80,60,60,40,20,3,21,10,80,51,20,40,21,51,20
37,20,93,43,40,42,50,10,93,41,20,40,100,10,50,41,100,10
38,10,43,22,100,22,71,10,100,52,20,43,62,10,71,52,62,10
39,20,110,53,31,31,61,10,110,82,20,53,92,10,61,82,92,10
40,20,3,110,81,3,42,10,81,63,20,110,70,20,42,63,70,20
41,10,93,12,71,71,50,20,12,52,10,93,11,20,50,52,11,20
42,10,3,120,30,3,52,10,30,12,20,null,null,null,52,12,null,20
43,20,70,80,0,80,22,20,null,null,null,null,null,null,22,null,null,20
44,20,22,81,100,22,63,10,81,2,20,100,120,10,63,2,120,10
45,10,22,81,10,10,80,10,22,0,20,81,70,10,80,0,70,10
46,20,83,43,60,83,93,10,null,null,null,null,null,null,93,null,null,20
47,10,31,70,50,31,53,10,null,null,null,null,null,null,53,null,null,10
48,20,93,31,50,30,70,10,50,40,20,93,null,20,70,40,null,20
51,10,41,70,40,51,93,10,50,40,20,70,31,20,93,40,31,20
53,10,12,22,11,12,63,10,null,null,null,null,null,null,63,null,null,10
54,20,120,81,1,1,11,10,81,52,20,120,60,20,11,52,60,10
55,10,31,62,90,62,63,10,90,42,20,null,null,null,63,42,null,20
